ipm_region,state,Population of state in Zone,Zone Population,State Population,Zone Prop,state_prop,region,dg_region,frac_dg_in_region
PJM_West,Kentucky,1342683.878,11227649.74,4467673,0.119587261,0.300533159,PJM_West,Kentucky,0.300533159
PJM_West,Michigan,267233.1807,11227649.74,9986857,0.023801346,0.026758487,PJM_West,Michigan,0.026758487
PJM_West,North Carolina,225.8403431,11227649.74,10488084,2.01E-05,2.15E-05,PJM_West,North Carolina,2.15E-05
PJM_West,Ohio,6130606.455,11227649.74,11689100,0.546027583,0.524472068,PJM_West,Ohio,0.524472068
PJM_West,Tennessee,18213.04304,11227649.74,6829174,0.00162216,0.002666947,PJM_West,Tennessee,0.002666947
PJM_West,Virginia,1112093.413,11227649.74,8535519,0.099049528,0.130290075,PJM_West,Virginia,0.130290075
PJM_West,West Virginia,958368.0773,11227649.74,1792147,0.085357853,0.534759748,PJM_West,West Virginia,0.534759748
SPP_N,Colorado,49.15287732,5259919.345,5758736,9.34E-06,8.54E-06,SPP_N,Colorado,8.54E-06
SPP_N,Kansas,2907706.985,5259919.345,2913314,0.552804481,0.998075383,SPP_N,Kansas,0.998075383
SPP_N,Missouri,2351812.848,5259919.345,6137428,0.447119565,0.383191925,SPP_N,Missouri,0.383191925
SPP_N,Nebraska,350.3581654,5259919.345,1934408,6.66E-05,0.000181119,SPP_N,Nebraska,0.000181119
SPP_NEBR,Colorado,1.328248798,1933935.275,5758736,6.87E-07,2.31E-07,SPP_NEBR,Colorado,2.31E-07
SPP_NEBR,Iowa,516.054206,1933935.275,3155070,0.000266842,0.000163563,SPP_NEBR,Iowa,0.000163563
SPP_NEBR,Kansas,4636,1933935.275,2913314,0.002397185,0.001591315,SPP_NEBR,Kansas,0.001591315
SPP_NEBR,Missouri,71.96897425,1933935.275,6137428,3.72E-05,1.17E-05,SPP_NEBR,Missouri,1.17E-05
SPP_NEBR,Nebraska,1928319.321,1933935.275,1934408,0.9970961,0.996852433,SPP_NEBR,Nebraska,0.996852433
SPP_NEBR,South Dakota,390.6028668,1933935.275,884659,0.000201973,0.000441529,SPP_NEBR,South Dakota,0.000441529
