IPM Regions,,,,,,,,,,State,State Tax Rate,,Region,Tax Rate
4.224141281,0.24433248436142177,0.070625791,0.6573834763569341,0.027573202477259355,8.50456032364229e-05,,,,,,,,,
,,,,,,,,,,,,,,
S_C_TVA,4,7,4,6,6,7,4,5,7,5,,,,
6.429026987,0.11423080852553556,3.051265603207344e-05,0.037075576366742205,0.001355892,0.061207172908748116,0.089260463,2.0582234005151743e-05,0.021221484,0.6696044688862908,0.00599304,,,,
,,,,,,,,,,,,,,
S_C_KY,7,6,6,5,,,,,,,,,,
5.998518254,0.000327037,0.9977448393450107,0.00011934,0.001808784,,,,,,,,,,
,,,,,,,,,,,,,,
WECC_IID,6,7,,,,,,,,,,,,
6.999940338,5.966248210779763e-05,0.9999403375178922,,,,,,,,,,,,
,,,,,,,,,,,,,,
WECC_AZ,6,7,7,6,,,,,,,,,,
6.000279931,0.9996853389104974,1.5920965433619733e-05,0.00026401,3.4730135244755805e-05,,,,,,,,,,
,,,,,,,,,,,,,,
WECC_NM,6,3,5,6,,,,,,,,,,
5.315947342,6.156305113680315e-05,5.078526243477669e-05,0.6839003017748988,0.3159873499115296,,,,,,,,,,
,,,,,,,,,,,,,,
ERC_REST,4,5,6,,,,,,,,,,,
5.999955717,9.862183651253067e-06,2.455842911464492e-05,0.9999655793872342,,,,,,,,,,,
,,,,,,,,,,,,,,
ERC_PHDL,6,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ERC_WEST,5,5,6,,,,,,,,,,,
5.999581563,0.000273899,0.000144537,0.9995815631967289,,,,,,,,,,,
