State,State Tax Rate [%],Marginal Energy Cost [mills/kWh],Reliability Cost [mills/kWh],REC Cost [mills/kWh],Transmission [mills/kWh],Distribution [mills/kWh],Marginal Energy Cost and Reliability Cost [mills/kWh],Competitive Generation Cost [mills/kWh],Final Cost [mills/kWh],Final Cost [$/kWh]
Louisiana,4.45,25.14545925643051,14.130971664429536,2.4960651231409733e-06,27.136451170249334,24.433678723045176,39.276430920860044,41.02423470397834,92.59436459727284,0.09259436459727284
Maine,5.5,23.6405900441833,24.57308311224195,2.4834725097320684e-05,148.97085573619967,73.9219402722636,48.213673156425244,50.86545138066361,273.75824738912684,0.27375824738912685
Maryland,6.0,25.40822739651933,12.165458134879962,0.7011391570948239,65.5084458122943,48.93951308924031,37.57368553139929,40.57131416980376,155.01927307133838,0.15501927307133836
Massachusetts,6.25,23.67317564759681,24.60695404098976,2.4868956666896244e-05,149.1761934716842,74.02383244266913,48.28012968858657,51.29766421738969,274.497690131743,0.274497690131743
Michigan,6.0,26.079555638934398,15.365330706347365,0.0314685782491597,19.26636264356679,35.655526274318255,41.44488634528176,43.964936218942775,98.88682513682782,0.09888682513682782
Minnesota,6.88,24.716281668457572,13.23901715162481,1.2929714118444838e-05,19.462578278204287,28.287810334444078,37.95529882008238,40.5666371981825,88.31702581083087,0.08831702581083087
Mississippi,7.0,26.303788428929998,14.844455416915434,1.492266621090942e-06,20.202934912151598,23.62512671514734,41.14824384584543,44.02862251177989,87.85668413907882,0.08785668413907882
Missouri,4.225,25.153329987731166,14.280259762496957,6.269517559333258e-06,19.042789138088395,30.24833393672303,39.43358975022812,41.09966545157994,90.39078852639136,0.09039078852639136
Montana,0.0,27.101079690642703,12.7924774987669,4.679831840910127e-06,17.138699111428842,33.512963753990206,39.893557189409606,39.893561869241445,90.54522473466051,0.0905452247346605
Nebraska,5.5,23.72641265073599,7.6486170336014565,-3.246143225431089e-08,15.797922183136167,25.750325080635637,31.37502968433745,33.1006562827292,74.648903546501,0.074648903546501
Nevada,6.85,26.514880279670116,14.969137856077849,7.271298629772083e-06,16.098332761173975,31.600596983360187,41.48401813574797,44.325681147429286,92.02461089196345,0.09202461089196345
New Hampshire,0.0,23.650037323852022,24.582903035858507,2.484464957860697e-05,149.0303876401834,73.95148104269705,48.232940359710526,48.232965204360106,271.21483388724056,0.27121483388724055
New Jersey,6.625,24.980747624201584,11.866146456664357,0.6507227012732204,68.7870855330477,49.547334209507454,36.84689408086594,39.98183389395587,158.31625363651102,0.15831625363651103
New Mexico,4.875,26.735735660261593,12.190033899058404,6.196582505732564e-06,26.277222555465976,32.589207071528875,38.925769559319995,40.82340732400275,99.6898369509976,0.0996898369509976
New York,4.0,23.31965679111372,9.721024065686004,8.804244328408773,58.21823342424642,90.29519395351537,33.040680856799725,43.518722192616835,192.03214957037864,0.19203214957037865
North Carolina,4.75,28.989346078900308,14.609156662843594,0.047279561888743084,11.34086000991172,29.163119674110472,43.5985027417439,45.7189569630552,86.22293664707739,0.08622293664707739
North Dakota,5.0,24.413330758503538,11.512887937935545,8.926464559246708e-06,18.332102030379637,27.504374614139568,35.92621869643908,37.72253900404882,83.55901564856802,0.08355901564856802
Ohio,5.75,25.144014861819095,13.045570562783794,1.170077841879731,16.767783266922557,32.816851349046864,38.18958542460289,41.62284390430538,91.2074785202748,0.0912074785202748
Oklahoma,4.5,23.442305030366423,6.298269931776674,-7.312924684827558e-08,31.25401406760322,30.610592594341227,29.740574962143096,31.078900759019472,92.94350742096393,0.09294350742096393
Oregon,0.0,27.29293567945637,12.827591681208855,4.222813435756545e-06,17.01185222295084,33.935276173341606,40.12052736066522,40.12053158347866,91.0676599797711,0.09106765997977109
Pennsylvania,6.0,25.66778398957226,12.422697258567808,0.7719706586667809,59.7670500342015,47.36021756709782,38.090481248140065,41.19419902121526,148.32146662251458,0.14832146662251458
Rhode Island,7.0,23.498118720520523,24.42499206752042,2.4685057252702438e-05,148.07307463326418,73.47644560996345,47.923110788040944,51.27775495621508,272.82727519944274,0.2728272751994427
South Carolina,6.0,29.136419984378882,14.568936995911145,7.187362514160442e-08,11.272639260849308,29.466687118836862,43.70535698029003,46.32767847529347,87.06700485497963,0.08706700485497963
South Dakota,4.2,24.074027641681504,10.219992511825644,5.814324569310729e-06,17.345334488149728,27.567762646972483,34.29402015350715,35.73437505848065,80.64747219360287,0.08064747219360287
Tennessee,7.0,27.041585258775324,14.531295544179136,0.003122258143826053,11.421109295016818,20.52019583916129,41.57288080295446,44.48632327537516,76.42762840955326,0.07642762840955326
Texas,6.25,23.406970681210733,12.013972179148768,3.333414642620211e-07,23.966607540470964,18.668075566632538,35.4209428603595,37.634752143307274,80.26943525041078,0.08026943525041078
Utah,6.1,26.512034959362122,14.969408979734691,7.266930045151577e-06,16.088224659993536,31.5710954841426,41.48144393909681,44.0118197295945,91.67113987373062,0.09167113987373063
Vermont,6.0,23.677053206392667,24.591776517714035,0.013979296627331158,149.13161019838418,74.024863609476,48.2688297241067,51.17977756197808,274.33625136983824,0.27433625136983825
Virginia,5.3,26.049511110198644,15.789741902578221,1.554275709746381,14.562493360466446,27.237694641918246,41.839253012776865,45.69338574481697,87.49357374720167,0.08749357374720167
Washington,6.5,27.293036644124268,12.827624205516212,4.2228102255662176e-06,17.011917758590958,33.93541,40.12066084964048,42.72850830216,93.67583606075095,0.09367583606075096
West Virginia,6.0,25.16243168281265,13.055399699151597,1.1710066525223644,16.779837951569032,32.84037072920092,38.217831381964245,41.75216831655581,91.37237699732576,0.09137237699732575
Wisconsin,5.0,24.72785641846792,13.303611734326969,2.282298940070885e-05,19.50485926021172,28.3174005969633,38.031468152794886,39.9330655245735,87.75532538174852,0.08775532538174852
Wyoming,4.0,24.10464769521997,13.09379796710283,1.1997473256617218e-05,18.635915489444738,31.62106736090499,37.1984456623228,38.6863959661879,88.94337881653763,0.08894337881653763
District of Columbia,6.0,23.36255468751781,11.129807342061293,0.6116308825482099,63.86380219279004,46.126902128093896,34.492362029579105,37.210232486854956,147.20093680773888,0.14720093680773888
