Region,Gen Cost [Million $],Interregional [Million $],Network Expansion [Million $],Deprec Costs [mills/kWh],Return on Equity and Debt [mills/kWh],Distribution [mills/kWh],Transmission [mills/kWh],Tax Rate [%],Generation [kWh],Dist Loss [%],Total Gen Costs [$],Total Gen Costs [mills/kWh],Total Costs [mills/kWh]
PJM_West,9753.379792305817,-659.1500351312588,0.15336675608679048,1.4054993211697826,2.5714864158278656,32.83377,16.77266,5.561157928062762,357743601644.75397,6.540039508,9094383123.930645,27.200430515753037,82.51767160845566
PJM_AP,9753.379792305817,-659.1500351312588,0.15336675608679048,3.429984457091824,5.594949291712389,32.83377,16.77266,5.917177378219937,357743601644.75397,6.540039508,9094383123.930645,27.200430515753037,87.9753133239974
PJM_ATSI,9753.379792305817,-659.1500351312588,0.15336675608679048,2.15857172696395,3.557888835393065,32.83377,16.77266,6.000006183957234,357743601644.75397,6.540039508,9094383123.930645,27.200430515753037,84.49833657836314
WECC_CO,3581.2782718812387,-374.0369013750179,53.55834171196031,6.8231082614414875,11.408806822123385,31.6264,15.245759999999999,3.000056298982848,127882587841.30733,6.550539745,3260799712.218181,27.285750935335944,93.75538162545082
WECC_WY,3581.2782718812387,-374.0369013750179,53.55834171196031,13.014935689748713,19.757110525653392,31.6264,15.245759999999999,4.009471224402866,127882587841.30733,6.550539745,3260799712.218181,27.285750935335944,109.33795724550716
SPP_N,2621.6537876935486,165.27471805620561,83.17703471294483,3.523608386853648,6.596588201492729,32.26433,18.03148,5.658537317256339,82896655480.9885,8.090490798,2870105540.462699,37.67041555364897,100.7906717641954
SPP_WAUE,3459.440389744799,-196.01127320023295,23.81256155534276,6.03624409689625,10.879187933383145,25.73347,14.437180000000001,4.483243329716188,119188904949.71355,7.460398569,3287241678.099909,29.803562545918595,88.98417078424585
SPP_NEBR,3459.440389744799,-196.01127320023295,23.81256155534276,15.290843099261,34.30898753584656,25.73347,14.437180000000001,6.001916750585737,119188904949.71355,7.460398569,3287241678.099909,29.803562545918595,124.33976873689163
SPP_WEST,4327.863556115245,-702.5635115924282,336.30904164056625,1.1517253992770264,1.9120764278809286,30.61232,15.222739999999998,5.398191878224379,193319887466.4519,7.758965471,3961609086.163383,22.216258511401143,72.47978650256542
SPP_SPS,4327.863556115245,-702.5635115924282,336.30904164056625,2.109937562790305,3.461260910374704,30.61232,15.222739999999998,5.687060554278364,193319887466.4519,7.758965471,3961609086.163383,22.216258511401143,75.20280648977248
S_VACA,9031.787687951017,208.41067530078558,0.02099977295002438,2.731676045621776,5.479442427345386,29.46702,11.27045,5.326642097283643,228529958253.00153,5.950063479,9240219363.024754,42.99130560699719,94.66726395583741
S_SOU,8677.018784880254,659.1291531207386,0.11365361550693487,2.759864344499415,7.226841285839791,29.27464,13.69079,4.224141281040543,235797130763.44427,6.642341494,9336261591.616499,42.41158906520218,97.57710269233701
S_C_TVA,7715.32945914446,258.07684979606944,0.11544598796164739,1.956182422037092,4.399557222268947,20.48344,11.390830000000001,6.429026987,223201713480.49442,4.987905177,7973521754.928492,37.59878108023611,78.65463872392948
S_C_KY,7715.32945914446,258.07684979606944,0.11544598796164739,2.880476223102181,4.799338026206411,20.48344,11.390830000000001,5.998518253773699,223201713480.49442,4.987905177,7973521754.928492,37.59878108023611,79.86891013543976
WECC_IID,3914.7472892755773,161.7496013057453,297.6548102079112,9.101949634204473,11.811822283031068,32.883610000000004,14.62816,6.999940337517891,142612483953.7975,8.123730667,4374151700.789233,33.38358280323682,105.60990715575589
WECC_AZ,3914.7472892755773,161.7496013057453,297.6548102079112,4.359349193100516,5.604507621141591,32.883610000000004,14.62816,6.000279930954256,142612483953.7975,8.123730667,4374151700.789233,33.38358280323682,93.46017733742903
WECC_NM,3914.7472892755773,161.7496013057453,297.6548102079112,3.4108091609100795,7.04968953110917,32.883610000000004,14.62816,5.315947342437789,142612483953.7975,8.123730667,4374151700.789233,33.38358280323682,93.68657978031938
ERC_REST,14368.694764376763,-72.39247674091871,110.60294652871494,1.2999442796771692,2.087829891610101,17.486530000000002,21.870910000000002,5.999955717203583,530831916102.6881,4.162554339,14406905234.16456,28.319034505329178,72.9666431565519
ERC_PHDL,14368.694764376763,-72.39247674091871,110.60294652871494,4.820328230376782,11.069789002862269,17.486530000000002,21.870910000000002,6.0,530831916102.6881,4.162554339,14406905234.16456,28.319034505329178,86.21914084288233
ERC_WEST,14368.694764376763,-72.39247674091871,110.60294652871494,2.5552053224269904,4.1043241893532,17.486530000000002,21.870910000000002,5.999581563196723,530831916102.6881,4.162554339,14406905234.16456,28.319034505329178,76.43457149495083
